Identifier (RIC),Company Name,"Total Current Assets
(FY0, usd)","Revenue
(FY0, usd)","Gross Profit
(FY0, usd)","Asset Turnover
(FY0)","Net Profit Margin, (%)
(FY0)","Total Debt to Total Equity, Percent
(FY0)","ESG Score
(FY0)","Environmental Pillar Score
(FY0)","Social Pillar Score
(FY0)","Governance Pillar Score
(FY0)"
CCL.N,Carnival Corp,5266000000.0,21593000000.0,10702000000.0,0.43,0.0,4.44,69.54,72.83,57.4,84.78
CCL.L,Carnival PLC,5266000000.0,21593000000.0,7276000000.0,0.43,0.0,4.44,71.85,78.02,78.36,56.53
MGM.N,MGM Resorts International,4910593000.0,16164249000.0,7610687000.0,0.37,0.07,1.69,72.29,91.67,58.63,75.35
TNL.N,Travel + Leisure Co,4528000000.0,3750000000.0,1821000000.0,0.56,0.1,1.0,67.37,86.36,73.13,41.63
WYNN.OQ,Wynn Resorts Ltd,4241621000.0,6531897000.0,2823334000.0,0.48,0.11,1.0,68.58,77.11,75.55,50.43
MAR.OQ,Marriott International Inc,3311000000.0,23713000000.0,5124000000.0,0.94,0.13,1.0,76.73,75.5,89.42,58.82
ACCP.PA,Accor SA,3069096045.82,5579773321.71,5440720426.43,0.44,0.11,0.68,81.72,77.95,89.86,72.89
HLT,Hilton Worldwide Holdings Inc,2614000000.0,10235000000.0,4071000000.0,0.66,0.11,1.0,77.57,90.43,70.91,75.98
H.N,Hyatt Hotels Corp,2130000000.0,6667000000.0,3523000000.0,0.53,0.03,0.86,58.78,67.95,79.89,18.87
IHG.L,InterContinental Hotels Group PLC,2129000000.0,4624000000.0,1418000000.0,1.02,0.16,1.0,80.4,84.8,84.63,70.1
600754.SS,Shanghai Jin Jiang International Hotels Co Ltd,1909164925.75,2063932348.05,866607762.97,0.29,0.07,1.44,64.27,63.35,60.93,70.13
RCL.N,Royal Caribbean Cruises Ltd,1792000000.0,13900000000.0,6335000000.0,0.4,0.12,4.54,69.52,81.7,75.23,50.0
1179.HK,H World Group Ltd,1698554481.67,3082927104.17,2048803854.72,0.35,0.19,0.66,43.31,39.01,54.79,29.97
0069.HK,Shangri-La Asia Ltd,1455767000.0,2141790000.0,1166742000.0,0.17,0.09,1.2,78.11,79.91,79.93,73.77
4681.T,Resorttrust Inc,1325259401.23,1333705637.43,1128094640.14,0.44,0.08,0.3,41.1,50.24,41.5,32.28
NCLH.N,Norwegian Cruise Line Holdings Ltd,1313148000.0,8549924000.0,3081337000.0,0.45,0.02,46.74,74.48,79.86,70.34,75.85
MINT.BK,Minor International PCL,1239467489.37,4347583715.87,1939200447.16,0.42,0.02,2.56,91.32,96.95,87.94,91.33
1992.HK,Fosun Tourism Group,1206337315.79,2416501028.49,788299754.85,0.45,0.02,10.3,58.0,56.0,55.0,52.0
ODHN.S,Orascom Development Holding AG,1072779001.78,778640986.33,179258348.19,0.36,0.04,1.35,40.44,46.14,41.01,34.46
